prospect_no,loan_disb_date,asset_cost,disb_date,down_payment,roi,age,is_exist_cust,dist_from_off,is_expat,children,earning_members,yrs_in_curr_resi,source_type,marital_status,gender,applicant_type,locality,accommodation_type,current_residence,veh_own,foir,tenure,vin_in_business,itv,itvg,target
174191,2021-03-17,553944,2023-11-09,127718,7.2,57,1,13.53,1,0,1,12,Others,Widowed,Male,Co-Applicant,Urban,Parents,House,1,59.32,91,22,9.84,3.03,0
923462,2022-05-10,550600,2023-04-07,89093,13.88,28,1,42.71,0,1,4,17,Business,Married,Other,Co-Applicant,Semi-Urban,Parents,Shared,0,60.0,64,17,8.93,4.61,0
763054,2022-12-31,434542,2022-06-03,167563,14.33,61,0,6.05,0,5,4,3,Salary,Divorced,Other,Primary,Semi-Urban,Owned,Apartment,0,20.15,192,6,8.0,1.04,0
556350,2023-04-29,707205,2022-10-02,141018,7.17,42,0,45.53,0,5,1,22,Others,Widowed,Other,Primary,Rural,Parents,Shared,1,29.53,150,9,6.44,0.44,1
433040,2021-02-08,636602,2024-06-17,97419,10.46,18,0,44.57,1,5,3,5,Others,Single,Other,Co-Applicant,Rural,Rented,Apartment,0,55.81,30,23,9.69,3.34,0
152097,2020-10-06,917574,2021-12-15,132073,12.78,37,1,8.38,0,4,3,13,Business,Widowed,Male,Co-Applicant,Rural,Company Provided,Others,0,35.82,237,3,7.33,0.33,0
400156,2022-06-12,408133,2022-05-04,34822,5.19,53,1,20.21,0,2,4,29,Salary,Widowed,Other,Co-Applicant,Rural,Owned,House,1,40.78,158,12,9.21,3.61,0
237850,2023-06-12,99746,2021-11-03,19496,9.75,26,1,38.74,0,0,1,7,Others,Single,Male,Primary,Urban,Rented,Apartment,1,39.95,217,8,2.03,4.56,1
476627,2022-05-12,430008,2020-09-17,123075,10.43,69,1,29.48,0,2,2,29,Business,Single,Female,Co-Applicant,Semi-Urban,Owned,Shared,0,46.73,127,3,5.45,4.33,0
856520,2020-01-21,586556,2022-08-14,124686,8.51,58,1,42.47,0,0,4,26,Business,Divorced,Female,Co-Applicant,Semi-Urban,Rented,Apartment,1,24.18,182,20,7.47,4.57,1
239228,2023-06-22,682741,2023-10-13,169174,7.18,39,1,13.88,1,3,4,25,Business,Single,Male,Co-Applicant,Rural,Company Provided,Apartment,1,50.68,23,22,8.64,2.41,0
